coffee_id,total_cup_points,cupper_points,aroma,flavor,aftertaste,acidity,body,balance,moisture
1,90.58,8.75,8.67,8.83,8.67,8.75,8.5,8.42,0.12
2,89.92,8.58,8.75,8.67,8.5,8.58,8.42,8.42,0.12
3,89.75,9.25,8.42,8.5,8.42,8.42,8.33,8.42,0.0
4,89.0,8.67,8.17,8.58,8.42,8.42,8.5,8.25,0.11
5,88.83,8.58,8.25,8.5,8.25,8.5,8.42,8.33,0.12
6,88.83,8.33,8.58,8.42,8.42,8.5,8.25,8.33,0.11
7,88.75,8.5,8.42,8.5,8.33,8.5,8.25,8.25,0.11
8,88.67,9.0,8.25,8.33,8.5,8.42,8.33,8.5,0.03
9,88.42,8.67,8.67,8.67,8.58,8.42,8.33,8.42,0.03
10,88.25,8.5,8.08,8.58,8.5,8.5,7.67,8.42,0.1
11,88.08,8.58,8.17,8.67,8.25,8.5,7.75,8.17,0.1
12,87.92,8.5,8.25,8.42,8.17,8.33,8.08,8.17,0.0
13,87.92,8.33,8.08,8.67,8.33,8.42,8.0,8.08,0.0
14,87.92,8.58,8.33,8.42,8.08,8.25,8.25,8.0,0.0
15,87.83,8.5,8.25,8.33,8.5,8.25,8.58,8.75,0.05
16,87.58,8.17,8.0,8.5,8.58,8.17,8.17,8.0,0.0
17,87.42,8.33,8.33,8.25,7.83,7.75,8.5,8.42,0.03
18,87.33,8.83,8.17,8.33,8.25,8.33,8.42,8.33,0.05
19,87.25,8.42,8.42,8.25,8.08,8.17,7.92,8.0,0.1
20,87.25,8.33,8.17,8.17,8.0,8.17,8.08,8.33,0.0
21,87.25,8.17,8.0,8.25,8.08,8.5,8.25,8.0,0.0
22,87.17,8.33,8.08,8.25,8.0,8.17,8.0,8.33,0.11
23,87.17,8.58,8.17,8.25,8.17,8.0,7.83,8.17,0.13
24,87.08,8.17,8.25,8.33,8.17,8.17,7.83,8.17,0.0
25,87.08,8.08,8.42,8.17,7.92,8.17,8.33,8.0,0.11
26,86.92,7.92,8.5,8.5,8.0,8.0,8.0,8.0,0.12
27,86.92,8.25,7.83,8.25,8.08,8.17,8.17,8.17,0.05
28,86.83,8.17,8.42,8.17,8.17,8.17,7.83,7.92,0.12
29,86.67,8.25,8.17,8.08,8.08,8.0,8.08,8.0,0.1
30,86.58,8.17,8.0,8.0,8.0,8.25,8.0,8.17,0.0
